track,scenario_id,competitor,coverage_h_over_b,multiplicative_epsilon_h_over_b
representative,rep_Google2011v2_trace_dynamic_n060_823,eco_pso_joint,1.0,0.9999954953687289
representative,rep_Google2011v2_trace_dynamic_n060_823,tm_moaoa_joint,1.0,0.9999855796309322
representative,rep_Google2011v2_trace_dynamic_n060_823,meo_adapted,1.0,1.0
representative,rep_Google2011v2_trace_dynamic_n060_823,jellyfish_rts_adapted,1.0,1.0
representative,rep_Google2011v2_trace_dynamic_n060_823,nsga_ii,1.0,1.0
representative,rep_Google2011v2_trace_dynamic_n060_823,ppo_joint,1.0,0.9972978401333301
representative,rep_Google2011v2_flexible_dynamic_n060_823,ecc_cee_adapted,1.0,0.9975082799147861
representative,rep_Google2011v2_flexible_dynamic_n060_823,eco_pso_joint,1.0,0.9999954953687289
representative,rep_Google2011v2_flexible_dynamic_n060_823,tm_moaoa_joint,1.0,0.9999855796309322
representative,rep_Google2011v2_flexible_dynamic_n060_823,meo_adapted,1.0,1.0
representative,rep_Google2011v2_flexible_dynamic_n060_823,jellyfish_rts_adapted,1.0,1.0
representative,rep_Google2011v2_flexible_dynamic_n060_823,nsga_ii,1.0,1.0
representative,rep_Google2011v2_flexible_dynamic_n060_823,ppo_joint,1.0,0.9971869950987227
representative,rep_Alibaba2017_trace_dynamic_n060_823,ecc_cee_adapted,1.0,1.0
representative,rep_Alibaba2017_trace_dynamic_n060_823,eco_pso_joint,1.0,1.0
representative,rep_Alibaba2017_trace_dynamic_n060_823,tm_moaoa_joint,1.0,0.9999999096275174
representative,rep_Alibaba2017_trace_dynamic_n060_823,meo_adapted,1.0,0.9999999096275174
representative,rep_Alibaba2017_trace_dynamic_n060_823,jellyfish_rts_adapted,1.0,0.9999999615948084
representative,rep_Alibaba2017_trace_dynamic_n060_823,nsga_ii,1.0,1.0
representative,rep_Alibaba2017_trace_dynamic_n060_823,ppo_joint,1.0,1.0
representative,rep_Alibaba2017_flexible_dynamic_n060_823,ecc_cee_adapted,1.0,1.0
representative,rep_Alibaba2017_flexible_dynamic_n060_823,eco_pso_joint,1.0,1.0
representative,rep_Alibaba2017_flexible_dynamic_n060_823,tm_moaoa_joint,1.0,0.9999999096275174
representative,rep_Alibaba2017_flexible_dynamic_n060_823,meo_adapted,1.0,0.9999999096275174
representative,rep_Alibaba2017_flexible_dynamic_n060_823,jellyfish_rts_adapted,1.0,1.0
representative,rep_Alibaba2017_flexible_dynamic_n060_823,nsga_ii,1.0,1.0
representative,rep_Alibaba2017_flexible_dynamic_n060_823,ppo_joint,1.0,1.0
representative,rep_Google2011v2_trace_dynamic_n090_827,ecc_cee_adapted,1.0,1.0
representative,rep_Google2011v2_trace_dynamic_n090_827,eco_pso_joint,1.0,0.9963735693198567
representative,rep_Google2011v2_trace_dynamic_n090_827,tm_moaoa_joint,1.0,0.9999764388780638
representative,rep_Google2011v2_trace_dynamic_n090_827,meo_adapted,1.0,1.0
