track,scenario_id,competitor,multiplicative_epsilon_h_over_b
representative,rep_Google2011v2_trace_dynamic_n030_811,ecc_cee_adapted,1.0076740997530096
representative,rep_Google2011v2_trace_dynamic_n030_811,eco_pso_joint,1.0000009205431872
representative,rep_Google2011v2_trace_dynamic_n030_811,tm_moaoa_joint,1.000000881766726
representative,rep_Google2011v2_trace_dynamic_n030_811,meo_adapted,1.0
representative,rep_Google2011v2_trace_dynamic_n030_811,jellyfish_rts_adapted,1.0000009205431872
representative,rep_Google2011v2_trace_dynamic_n030_811,nsga_ii,1.0012557099238117
representative,rep_Google2011v2_trace_dynamic_n030_811,ppo_joint,1.0000006653968194
representative,rep_Google2011v2_flexible_dynamic_n030_811,ecc_cee_adapted,1.0076740997530096
representative,rep_Google2011v2_flexible_dynamic_n030_811,eco_pso_joint,1.0000009205431872
representative,rep_Google2011v2_flexible_dynamic_n030_811,tm_moaoa_joint,1.0000009205431872
representative,rep_Google2011v2_flexible_dynamic_n030_811,meo_adapted,1.000000626620368
representative,rep_Google2011v2_flexible_dynamic_n030_811,jellyfish_rts_adapted,1.0000006653968194
representative,rep_Google2011v2_flexible_dynamic_n030_811,nsga_ii,1.001578480322663
representative,rep_Google2011v2_flexible_dynamic_n030_811,ppo_joint,1.0
representative,rep_Alibaba2017_trace_dynamic_n030_811,ecc_cee_adapted,1.0153886800243297
representative,rep_Alibaba2017_trace_dynamic_n030_811,eco_pso_joint,1.0000068101082624
representative,rep_Alibaba2017_trace_dynamic_n030_811,tm_moaoa_joint,1.0000040717833392
representative,rep_Alibaba2017_trace_dynamic_n030_811,meo_adapted,1.0013333064407821
representative,rep_Alibaba2017_trace_dynamic_n030_811,jellyfish_rts_adapted,1.007857961914725
representative,rep_Alibaba2017_trace_dynamic_n030_811,nsga_ii,1.0053506050534724
representative,rep_Alibaba2017_trace_dynamic_n030_811,ppo_joint,1.0000051873880915
representative,rep_Alibaba2017_flexible_dynamic_n030_811,ecc_cee_adapted,1.0000063427682433
representative,rep_Alibaba2017_flexible_dynamic_n030_811,eco_pso_joint,1.0000063427682433
representative,rep_Alibaba2017_flexible_dynamic_n030_811,tm_moaoa_joint,1.0000040717833392
representative,rep_Alibaba2017_flexible_dynamic_n030_811,meo_adapted,1.0000068100903603
representative,rep_Alibaba2017_flexible_dynamic_n030_811,jellyfish_rts_adapted,1.0000068101082624
representative,rep_Alibaba2017_flexible_dynamic_n030_811,nsga_ii,1.0000063427682433
representative,rep_Alibaba2017_flexible_dynamic_n030_811,ppo_joint,1.0000051873880915
representative,rep_Google2011v2_trace_dynamic_n060_823,ecc_cee_adapted,1.0000000763420736
representative,rep_Google2011v2_trace_dynamic_n060_823,eco_pso_joint,0.9999954953687289
representative,rep_Google2011v2_trace_dynamic_n060_823,tm_moaoa_joint,0.9999855796309322
representative,rep_Google2011v2_trace_dynamic_n060_823,meo_adapted,1.0
representative,rep_Google2011v2_trace_dynamic_n060_823,jellyfish_rts_adapted,1.0
representative,rep_Google2011v2_trace_dynamic_n060_823,nsga_ii,1.0
representative,rep_Google2011v2_trace_dynamic_n060_823,ppo_joint,0.9972978401333301
representative,rep_Google2011v2_flexible_dynamic_n060_823,ecc_cee_adapted,0.9975082799147861
representative,rep_Google2011v2_flexible_dynamic_n060_823,eco_pso_joint,0.9999954953687289
representative,rep_Google2011v2_flexible_dynamic_n060_823,tm_moaoa_joint,0.9999855796309322
representative,rep_Google2011v2_flexible_dynamic_n060_823,meo_adapted,1.0
representative,rep_Google2011v2_flexible_dynamic_n060_823,jellyfish_rts_adapted,1.0
representative,rep_Google2011v2_flexible_dynamic_n060_823,nsga_ii,1.0
representative,rep_Google2011v2_flexible_dynamic_n060_823,ppo_joint,0.9971869950987227
representative,rep_Alibaba2017_trace_dynamic_n060_823,ecc_cee_adapted,1.0
representative,rep_Alibaba2017_trace_dynamic_n060_823,eco_pso_joint,1.0
representative,rep_Alibaba2017_trace_dynamic_n060_823,tm_moaoa_joint,0.9999999096275174
representative,rep_Alibaba2017_trace_dynamic_n060_823,meo_adapted,0.9999999096275174
representative,rep_Alibaba2017_trace_dynamic_n060_823,jellyfish_rts_adapted,0.9999999615948084
representative,rep_Alibaba2017_trace_dynamic_n060_823,nsga_ii,1.0
representative,rep_Alibaba2017_trace_dynamic_n060_823,ppo_joint,1.0
representative,rep_Alibaba2017_flexible_dynamic_n060_823,ecc_cee_adapted,1.0
representative,rep_Alibaba2017_flexible_dynamic_n060_823,eco_pso_joint,1.0
representative,rep_Alibaba2017_flexible_dynamic_n060_823,tm_moaoa_joint,0.9999999096275174
representative,rep_Alibaba2017_flexible_dynamic_n060_823,meo_adapted,0.9999999096275174
representative,rep_Alibaba2017_flexible_dynamic_n060_823,jellyfish_rts_adapted,1.0
representative,rep_Alibaba2017_flexible_dynamic_n060_823,nsga_ii,1.0
representative,rep_Alibaba2017_flexible_dynamic_n060_823,ppo_joint,1.0
representative,rep_Google2011v2_trace_dynamic_n090_827,ecc_cee_adapted,1.0
representative,rep_Google2011v2_trace_dynamic_n090_827,eco_pso_joint,0.9963735693198567
representative,rep_Google2011v2_trace_dynamic_n090_827,tm_moaoa_joint,0.9999764388780638
representative,rep_Google2011v2_trace_dynamic_n090_827,meo_adapted,1.0
representative,rep_Google2011v2_trace_dynamic_n090_827,jellyfish_rts_adapted,1.0
representative,rep_Google2011v2_trace_dynamic_n090_827,nsga_ii,1.0
representative,rep_Google2011v2_trace_dynamic_n090_827,ppo_joint,0.9963735978811992
representative,rep_Google2011v2_flexible_dynamic_n090_827,ecc_cee_adapted,0.9999920954523395
representative,rep_Google2011v2_flexible_dynamic_n090_827,eco_pso_joint,0.9996886094352774
representative,rep_Google2011v2_flexible_dynamic_n090_827,tm_moaoa_joint,0.9999764388780638
representative,rep_Google2011v2_flexible_dynamic_n090_827,meo_adapted,0.9999850364361211
representative,rep_Google2011v2_flexible_dynamic_n090_827,jellyfish_rts_adapted,0.9999764388780638
representative,rep_Google2011v2_flexible_dynamic_n090_827,nsga_ii,0.9996985140555819
representative,rep_Google2011v2_flexible_dynamic_n090_827,ppo_joint,0.9963735693198567
representative,rep_Alibaba2017_trace_dynamic_n090_827,ecc_cee_adapted,1.0
representative,rep_Alibaba2017_trace_dynamic_n090_827,eco_pso_joint,1.0
representative,rep_Alibaba2017_trace_dynamic_n090_827,tm_moaoa_joint,0.99999749971238
