track,scenario_id,method,hypervolume_3d_exact_normalized
representative,rep_Alibaba2017_flexible_dynamic_n060_823,nsga_ii,6669.289187156374
representative,rep_Alibaba2017_flexible_dynamic_n060_823,ppo_joint,5477.250769782868
representative,rep_Google2011v2_trace_dynamic_n090_827,hcsmo_v6d,255.75603720012452
representative,rep_Google2011v2_trace_dynamic_n090_827,ecc_cee_adapted,241.8314846618959
representative,rep_Google2011v2_trace_dynamic_n090_827,eco_pso_joint,36.7911603304206
representative,rep_Google2011v2_trace_dynamic_n090_827,tm_moaoa_joint,189.36273050789833
representative,rep_Google2011v2_trace_dynamic_n090_827,meo_adapted,241.8314846618959
representative,rep_Google2011v2_trace_dynamic_n090_827,jellyfish_rts_adapted,241.8314846618959
representative,rep_Google2011v2_trace_dynamic_n090_827,nsga_ii,241.83455180789124
representative,rep_Google2011v2_trace_dynamic_n090_827,ppo_joint,167.68787742032498
representative,rep_Google2011v2_flexible_dynamic_n090_827,hcsmo_v6d,654.5677679523203
representative,rep_Google2011v2_flexible_dynamic_n090_827,ecc_cee_adapted,606.9238198204025
representative,rep_Google2011v2_flexible_dynamic_n090_827,eco_pso_joint,84.99133479161728
representative,rep_Google2011v2_flexible_dynamic_n090_827,tm_moaoa_joint,503.92551550165786
representative,rep_Google2011v2_flexible_dynamic_n090_827,meo_adapted,606.8993604762906
representative,rep_Google2011v2_flexible_dynamic_n090_827,jellyfish_rts_adapted,606.8494266735726
representative,rep_Google2011v2_flexible_dynamic_n090_827,nsga_ii,606.6950993739613
representative,rep_Google2011v2_flexible_dynamic_n090_827,ppo_joint,413.85748711034563
representative,rep_Alibaba2017_trace_dynamic_n090_827,hcsmo_v6d,1378.5909394526288
representative,rep_Alibaba2017_trace_dynamic_n090_827,ecc_cee_adapted,1223.140070286823
representative,rep_Alibaba2017_trace_dynamic_n090_827,eco_pso_joint,568.4666171932545
representative,rep_Alibaba2017_trace_dynamic_n090_827,tm_moaoa_joint,1375.415511702487
representative,rep_Alibaba2017_trace_dynamic_n090_827,meo_adapted,1214.4704295838467
representative,rep_Alibaba2017_trace_dynamic_n090_827,jellyfish_rts_adapted,1291.9654204661094
representative,rep_Alibaba2017_trace_dynamic_n090_827,nsga_ii,1202.239953520703
representative,rep_Alibaba2017_trace_dynamic_n090_827,ppo_joint,1051.0438611084862
representative,rep_Alibaba2017_flexible_dynamic_n090_827,hcsmo_v6d,3639.162237028772
representative,rep_Alibaba2017_flexible_dynamic_n090_827,ecc_cee_adapted,3365.8419227629447
representative,rep_Alibaba2017_flexible_dynamic_n090_827,eco_pso_joint,1603.7476160572676
representative,rep_Alibaba2017_flexible_dynamic_n090_827,tm_moaoa_joint,3631.2095153860255
representative,rep_Alibaba2017_flexible_dynamic_n090_827,meo_adapted,3269.5007039520347
representative,rep_Alibaba2017_flexible_dynamic_n090_827,jellyfish_rts_adapted,3410.5221763840327
representative,rep_Alibaba2017_flexible_dynamic_n090_827,nsga_ii,3225.759932817764
representative,rep_Alibaba2017_flexible_dynamic_n090_827,ppo_joint,2633.538504456617
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6000,hcsmo_v6d,16.461654805927214
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6000,ecc_cee_adapted,13.500177116420243
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6000,eco_pso_joint,1.4677099185077265
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6000,tm_moaoa_joint,2.337806656447666
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6000,meo_adapted,13.456101771237943
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6000,jellyfish_rts_adapted,13.456101771237943
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6000,nsga_ii,13.74614241614356
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6000,ppo_joint,2.214579488012446
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6101,hcsmo_v6d,6.712687351456418
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6101,ecc_cee_adapted,5.543815445064659
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6101,eco_pso_joint,0.20901971590770554
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6101,tm_moaoa_joint,0.5456988667438724
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6101,meo_adapted,5.546740385671325
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6101,jellyfish_rts_adapted,5.54377798347241
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6101,nsga_ii,5.558470117722454
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6101,ppo_joint,0.5989385971872324
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6102,hcsmo_v6d,6.548442840311664
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6102,ecc_cee_adapted,5.987255716147803
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6102,eco_pso_joint,0.43256542835505135
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6102,tm_moaoa_joint,0.9208782312750512
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6102,meo_adapted,5.985376007391045
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6102,jellyfish_rts_adapted,5.903504067402016
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6102,nsga_ii,6.1311255023438065
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6102,ppo_joint,0.9691529175546896
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6000,hcsmo_v6d,84.46926437232617
