track,competitor,metric,median_difference_competitor_minus_hcsmo,bootstrap_ci_low,bootstrap_ci_high
representative,ecc_cee_adapted,scheduler_controllable_emissions_g,0.2274133997137131,0.048311945742710805,4.3382685340127445
representative,ecc_cee_adapted,scheduler_controllable_energy_wh,36.560999931456976,-0.9480254479472983,75.394392774604
representative,ecc_cee_adapted,gross_horizon_emissions_g,0.22741339971371133,0.04831194574271436,4.338268534012741
representative,ecc_cee_adapted,gross_horizon_energy_wh,36.56099993145695,-0.9480254479472876,75.39439277460417
representative,ecc_cee_adapted,makespan_s,0.010224892990663648,0.0,0.19085454937521718
representative,eco_pso_joint,scheduler_controllable_emissions_g,100.16118756605293,48.02216685407238,360.06392910526665
representative,eco_pso_joint,scheduler_controllable_energy_wh,364.3459627887366,225.16252201418348,885.6390976177877
representative,eco_pso_joint,gross_horizon_emissions_g,100.16118756605292,48.02216685407238,360.06392910526665
representative,eco_pso_joint,gross_horizon_energy_wh,364.3459627887366,225.16252201418348,885.6390976177877
representative,eco_pso_joint,makespan_s,70.69934010671386,0.2195969421591144,167.94725778232896
representative,tm_moaoa_joint,scheduler_controllable_emissions_g,54.05553888614931,5.079533079711716,104.35867966054562
representative,tm_moaoa_joint,scheduler_controllable_energy_wh,78.92826159849659,15.171851962253669,167.65053353119595
representative,tm_moaoa_joint,gross_horizon_emissions_g,54.05553888614931,5.07953307971173,104.35867966054565
representative,tm_moaoa_joint,gross_horizon_energy_wh,78.92826159849659,15.171851962253683,167.65053353119595
representative,tm_moaoa_joint,makespan_s,62.174181951908395,20.88488217253871,182.46812939728443
representative,meo_adapted,scheduler_controllable_emissions_g,0.7956949840931369,0.04830999940403302,9.710535537355373
representative,meo_adapted,scheduler_controllable_energy_wh,64.96765272894353,23.61707513424665,176.52569709918197
representative,meo_adapted,gross_horizon_emissions_g,0.7956949840931333,0.04830999940403302,9.710535537355387
representative,meo_adapted,gross_horizon_energy_wh,64.96765272894359,23.617075134246633,176.52569709918203
representative,meo_adapted,makespan_s,0.0,-32.72041622037068,0.19085454937521718
representative,jellyfish_rts_adapted,scheduler_controllable_emissions_g,0.7956949840931369,0.048311945742710805,10.334264507415785
representative,jellyfish_rts_adapted,scheduler_controllable_energy_wh,48.1341693624463,10.170022423914265,174.3847908108961
representative,jellyfish_rts_adapted,gross_horizon_emissions_g,0.7956949840931333,0.04831194574271436,10.334264507415792
representative,jellyfish_rts_adapted,gross_horizon_energy_wh,48.13416936244634,10.17002242391429,174.3847908108961
representative,jellyfish_rts_adapted,makespan_s,0.0746205869345431,0.0,0.4732595361128915
representative,nsga_ii,scheduler_controllable_emissions_g,0.7015978130265702,0.048311945742710805,13.138760688314647
representative,nsga_ii,scheduler_controllable_energy_wh,53.73382929256467,5.384269730329294,122.71646990614602
representative,nsga_ii,gross_horizon_emissions_g,0.7015978130265665,0.04831194574271436,13.138760688314655
representative,nsga_ii,gross_horizon_energy_wh,53.73382929256468,5.384269730329308,122.71646990614624
representative,nsga_ii,makespan_s,0.0,-0.008579914458096027,0.19085454937521718
representative,ppo_joint,scheduler_controllable_emissions_g,29.44082061748648,8.350827970518754,83.29294072038269
representative,ppo_joint,scheduler_controllable_energy_wh,246.7091649534322,166.74794669034483,519.3280387774771
representative,ppo_joint,gross_horizon_emissions_g,29.440820617486487,8.350827970518758,83.29294072038269
representative,ppo_joint,gross_horizon_energy_wh,246.70916495343224,166.74794669034475,519.3280387774769
representative,ppo_joint,makespan_s,10.225222089982708,0.1088802777503588,84.47442304927608
sla_stress,ecc_cee_adapted,scheduler_controllable_emissions_g,0.7878212815499779,-1.5698808684040912,1.5927564810780162
sla_stress,ecc_cee_adapted,scheduler_controllable_energy_wh,0.0,-8.170853890501487,2.8338314121209542
sla_stress,ecc_cee_adapted,gross_horizon_emissions_g,0.7878212815499779,-1.5698808684040912,1.5927564810780166
sla_stress,ecc_cee_adapted,gross_horizon_energy_wh,0.0,-8.170853890501489,2.833831412120956
sla_stress,ecc_cee_adapted,makespan_s,0.0,0.0,0.07728962006535767
sla_stress,eco_pso_joint,scheduler_controllable_emissions_g,53.32980694477716,3.8111053157431947,115.5601107600478
sla_stress,eco_pso_joint,scheduler_controllable_energy_wh,55.94234468112728,9.394501753583883,228.62176399780208
sla_stress,eco_pso_joint,gross_horizon_emissions_g,53.32980694477717,3.8111053157431947,115.56011076004775
sla_stress,eco_pso_joint,gross_horizon_energy_wh,55.94234468112717,9.39450175358388,228.6217639978022
sla_stress,eco_pso_joint,makespan_s,44.97380109218648,1.0314078999799676,96.25585669241264
sla_stress,tm_moaoa_joint,scheduler_controllable_emissions_g,52.83125448239975,3.4432523405119024,115.5601107600478
sla_stress,tm_moaoa_joint,scheduler_controllable_energy_wh,54.79841280931166,7.4855771421407304,228.62176399780208
sla_stress,tm_moaoa_joint,gross_horizon_emissions_g,52.83125448239976,3.4432523405119024,115.56011076004775
sla_stress,tm_moaoa_joint,gross_horizon_energy_wh,54.79841280931154,7.485577142140727,228.6217639978022
sla_stress,tm_moaoa_joint,makespan_s,44.97380109218648,1.0314078999799676,96.25585669241264
sla_stress,meo_adapted,scheduler_controllable_emissions_g,0.7878212815499779,-1.5698808684040912,1.799813514797485
sla_stress,meo_adapted,scheduler_controllable_energy_wh,0.19920613373780682,-13.400213628889835,4.100442228215213
sla_stress,meo_adapted,gross_horizon_emissions_g,0.7878212815499779,-1.5698808684040912,1.7998135147974854
sla_stress,meo_adapted,gross_horizon_energy_wh,0.19920613373780682,-13.400213628889723,4.100442228215215
sla_stress,meo_adapted,makespan_s,0.0,0.0,7.03461300814547
sla_stress,jellyfish_rts_adapted,scheduler_controllable_emissions_g,0.7878212815499779,-1.5698808684040912,1.799813514797485
sla_stress,jellyfish_rts_adapted,scheduler_controllable_energy_wh,0.19920613373780682,-13.399483311678003,4.100442228215213
sla_stress,jellyfish_rts_adapted,gross_horizon_emissions_g,0.7878212815499779,-1.5698808684040912,1.7998135147974854
sla_stress,jellyfish_rts_adapted,gross_horizon_energy_wh,0.19920613373780682,-13.399483311678004,4.100442228215215
sla_stress,jellyfish_rts_adapted,makespan_s,0.0,0.0,7.03461300814547
sla_stress,nsga_ii,scheduler_controllable_emissions_g,0.7876418476106672,-1.5700778607573411,1.7994130954880663
sla_stress,nsga_ii,scheduler_controllable_energy_wh,0.19730804997242934,-13.400009816563136,4.099142385819306
sla_stress,nsga_ii,gross_horizon_emissions_g,0.7876418476106672,-1.570077860757334,1.7994130954880667
sla_stress,nsga_ii,gross_horizon_energy_wh,0.1973080499724258,-13.40000981656314,4.099142385819308
sla_stress,nsga_ii,makespan_s,0.0,0.0,7.03461300814547
sla_stress,ppo_joint,scheduler_controllable_emissions_g,53.32980694477716,3.8111053157431947,115.5601107600478
sla_stress,ppo_joint,scheduler_controllable_energy_wh,55.94234468112728,9.394501753583883,228.62176399780208
sla_stress,ppo_joint,gross_horizon_emissions_g,53.32980694477717,3.8111053157431947,115.56011076004775
sla_stress,ppo_joint,gross_horizon_energy_wh,55.94234468112717,9.39450175358388,228.6217639978022
sla_stress,ppo_joint,makespan_s,44.97380109218648,1.0314078999799676,96.25585669241264
