track,scenario_id,base_scenario_id,method,migration_volume_gib,migration_energy_wh,migration_emissions_g,gross_horizon_energy_wh,gross_horizon_emissions_g,makespan_s,migration_energy_fraction_pct,migration_emissions_fraction_pct
representative,rep_Alibaba2017_flexible_dynamic_n030_811,rep_Alibaba2017_flexible_dynamic_n030_811,ecc_cee_adapted,15.017875909196727,0.9010725545518038,0.12532922879403557,250.70425525241896,42.97828697057423,25522.176711051492,0.35941653788228217,0.29161057275233937
representative,rep_Alibaba2017_flexible_dynamic_n030_811,rep_Alibaba2017_flexible_dynamic_n030_811,eco_pso_joint,14.781642637123612,0.8868985582274169,0.1725659004478027,386.08037745337793,84.18450770652015,25655.252765735495,0.2297186311507159,0.20498534130459417
representative,rep_Alibaba2017_flexible_dynamic_n030_811,rep_Alibaba2017_flexible_dynamic_n030_811,hcsmo_v6d,16.756327492040388,1.0053796495224234,0.15670661993632307,251.82971134398088,43.541513782923055,25522.019092861796,0.3992299574807314,0.3599016348342562
representative,rep_Alibaba2017_flexible_dynamic_n030_811,rep_Alibaba2017_flexible_dynamic_n030_811,jellyfish_rts_adapted,15.017875909196727,0.9010725545518038,0.12532922879403557,251.0033491384875,42.9694328771769,25522.176711051492,0.3589882595768274,0.29167066075150333
representative,rep_Alibaba2017_flexible_dynamic_n030_811,rep_Alibaba2017_flexible_dynamic_n030_811,meo_adapted,15.017875909196727,0.9010725545518038,0.12532922879403557,251.0033491384875,42.9694328771769,25522.176711051492,0.3589882595768274,0.29167066075150333
representative,rep_Alibaba2017_flexible_dynamic_n030_811,rep_Alibaba2017_flexible_dynamic_n030_811,nsga_ii,15.017875909196727,0.9010725545518038,0.12532922879403557,251.0033491384875,42.968293834230536,25522.176711051492,0.3589882595768274,0.29167839262491846
representative,rep_Alibaba2017_flexible_dynamic_n030_811,rep_Alibaba2017_flexible_dynamic_n030_811,ppo_joint,14.886009370227448,0.893160562213647,0.15032061833147764,334.5039307753721,53.01324829137361,25522.068206000957,0.2670104832978561,0.2835529290815746
representative,rep_Alibaba2017_flexible_dynamic_n030_811,rep_Alibaba2017_flexible_dynamic_n030_811,tm_moaoa_joint,15.573504516863736,0.9344102710118242,0.14950431144358373,301.0316288853831,48.542855135186315,25624.31762539991,0.31040268907012364,0.30798417404009565
representative,rep_Alibaba2017_flexible_dynamic_n060_823,rep_Alibaba2017_flexible_dynamic_n060_823,ecc_cee_adapted,25.75737840706118,1.5454427044236703,0.08433175948023663,315.6583974423509,27.006028882822257,25752.01691657887,0.48959340760320386,0.31227012252022585
representative,rep_Alibaba2017_flexible_dynamic_n060_823,rep_Alibaba2017_flexible_dynamic_n060_823,eco_pso_joint,29.23096834312616,1.7538581005875695,0.22101321626588527,527.0989903517375,81.04729867709574,25752.1719276316,0.33273789794535663,0.2726965856646674
representative,rep_Alibaba2017_flexible_dynamic_n060_823,rep_Alibaba2017_flexible_dynamic_n060_823,hcsmo_v6d,30.334273807366582,1.820056428441995,0.09613856920249472,297.3453584969208,25.645958892548084,25752.01691657887,0.6121018460292672,0.3748682964255612
representative,rep_Alibaba2017_flexible_dynamic_n060_823,rep_Alibaba2017_flexible_dynamic_n060_823,jellyfish_rts_adapted,25.75737840706118,1.5454427044236703,0.08433175948023663,315.6583974423509,27.006028882822257,25752.01691657887,0.48959340760320386,0.31227012252022585
representative,rep_Alibaba2017_flexible_dynamic_n060_823,rep_Alibaba2017_flexible_dynamic_n060_823,meo_adapted,25.75737840706118,1.5454427044236703,0.08433175948023663,315.6583974423509,27.006028882822257,25752.01691657887,0.48959340760320386,0.31227012252022585
representative,rep_Alibaba2017_flexible_dynamic_n060_823,rep_Alibaba2017_flexible_dynamic_n060_823,nsga_ii,25.75737840706118,1.5454427044236703,0.08393222374653747,308.9402601630728,26.817834540689123,25752.01691657887,0.5002399828393732,0.31297166674360694
representative,rep_Alibaba2017_flexible_dynamic_n060_823,rep_Alibaba2017_flexible_dynamic_n060_823,ppo_joint,27.570377656407587,1.6542226593844556,0.10559185939481729,484.48138557431844,30.425283632138786,25752.185563995212,0.3414419436204946,0.3470529993129749
representative,rep_Alibaba2017_flexible_dynamic_n060_823,rep_Alibaba2017_flexible_dynamic_n060_823,tm_moaoa_joint,28.994403748090836,1.73966422488545,0.10918715419459983,297.8499280643494,26.368496148510488,25787.125911328156,0.5840740792489303,0.4140818406163358
representative,rep_Alibaba2017_flexible_dynamic_n090_827,rep_Alibaba2017_flexible_dynamic_n090_827,ecc_cee_adapted,38.497408950896684,2.3098445370538014,0.2631930016307287,349.9201438502605,60.17475450742941,25812.825653664186,0.6601061921265787,0.43738109741392267
representative,rep_Alibaba2017_flexible_dynamic_n090_827,rep_Alibaba2017_flexible_dynamic_n090_827,eco_pso_joint,43.38409132089122,2.6030454792534727,0.5453920799316615,524.4670100100067,121.67791051003408,25812.88574558671,0.49632206212623503,0.44822604008036954
representative,rep_Alibaba2017_flexible_dynamic_n090_827,rep_Alibaba2017_flexible_dynamic_n090_827,hcsmo_v6d,47.13234799264851,2.8279408795589105,0.3100812772500177,303.8955978364564,49.53401590125368,25812.601562755124,0.9305632920292538,0.6259966441407988
representative,rep_Alibaba2017_flexible_dynamic_n090_827,rep_Alibaba2017_flexible_dynamic_n090_827,jellyfish_rts_adapted,49.674920404834964,2.9804952242900975,0.6283385648538778,327.4464275896771,60.71565416211588,25813.263898995763,0.9102237719401703,1.0348872519369736
representative,rep_Alibaba2017_flexible_dynamic_n090_827,rep_Alibaba2017_flexible_dynamic_n090_827,meo_adapted,40.48965392281188,2.429379235368713,0.3155823781740982,355.86330306969853,58.349209744583106,25812.825653664186,0.6826720300780496,0.5408511607192684
representative,rep_Alibaba2017_flexible_dynamic_n090_827,rep_Alibaba2017_flexible_dynamic_n090_827,nsga_ii,37.915274506250924,2.2749164703750555,0.24673650485336238,349.9198614410036,61.51739131588191,25812.825653664186,0.650124991764323,0.40108414803613845
representative,rep_Alibaba2017_flexible_dynamic_n090_827,rep_Alibaba2017_flexible_dynamic_n090_827,ppo_joint,41.56048973675332,2.493629384205199,0.3513521078870377,545.1057975270616,69.18730665460888,25865.7976109836,0.4574578724933491,0.5078274106564495
representative,rep_Alibaba2017_flexible_dynamic_n090_827,rep_Alibaba2017_flexible_dynamic_n090_827,tm_moaoa_joint,50.42437294540908,3.0254623767245445,0.5001396882457975,304.7994402049402,54.691740708413874,25830.055102065962,0.9926075896629905,0.9144702321914854
representative,rep_Alibaba2017_trace_dynamic_n030_811,rep_Alibaba2017_trace_dynamic_n030_811,ecc_cee_adapted,15.017875909196727,0.9010725545518038,0.12532922879403557,243.06340740785723,41.59541804840575,25522.13529691007,0.3707150180116647,0.30130537129879653
representative,rep_Alibaba2017_trace_dynamic_n030_811,rep_Alibaba2017_trace_dynamic_n030_811,eco_pso_joint,13.878124919110519,0.8326874951466313,0.17135938125436714,340.9802017126364,56.75288478514878,25569.713748198585,0.24420405963874256,0.30193950827889693
representative,rep_Alibaba2017_trace_dynamic_n030_811,rep_Alibaba2017_trace_dynamic_n030_811,hcsmo_v6d,16.756327492040388,1.0053796495224234,0.15670661993632307,243.8340022121899,42.16325311917543,25522.019092861796,0.41232134993523967,0.37166634057715636
