track,competitor,metric,n_scenarios,wilcoxon_statistic,raw_p_value,rank_biserial_effect,median_difference_competitor_minus_hcsmo,median_relative_improvement_pct,bootstrap_ci_low,bootstrap_ci_high,holm_adjusted_p
representative,ecc_cee_adapted,scheduler_controllable_emissions_g,12,13.0,0.04248046875,0.6666666666666666,0.2274133997137131,21.994428695503714,0.048311945742710805,4.3382685340127445,0.107421875
representative,ecc_cee_adapted,scheduler_controllable_energy_wh,12,20.0,0.1513671875,0.48717948717948717,36.560999931456976,13.929356313645666,-0.9480254479472983,75.394392774604,0.1513671875
representative,ecc_cee_adapted,gross_horizon_emissions_g,12,13.0,0.04248046875,0.6666666666666666,0.22741339971371133,0.38568300337355854,0.04831194574271436,4.338268534012741,0.107421875
representative,ecc_cee_adapted,gross_horizon_energy_wh,12,20.0,0.1513671875,0.48717948717948717,36.56099993145695,6.277689774759146,-0.9480254479472876,75.39439277460417,0.1513671875
representative,ecc_cee_adapted,makespan_s,12,22.5,0.3828125,0.19444444444444445,0.010224892990663648,3.940503039319363e-05,0.0,0.19085454937521718,1.0
representative,eco_pso_joint,scheduler_controllable_emissions_g,12,0.0,0.00048828125,1.0,100.16118756605293,99.61339829557691,48.02216685407238,360.06392910526665,0.00341796875
representative,eco_pso_joint,scheduler_controllable_energy_wh,12,0.0,0.00048828125,1.0,364.3459627887366,72.21501215315632,225.16252201418348,885.6390976177877,0.00341796875
representative,eco_pso_joint,gross_horizon_emissions_g,12,0.0,0.00048828125,1.0,100.16118756605292,68.2576116171758,48.02216685407238,360.06392910526665,0.00341796875
representative,eco_pso_joint,gross_horizon_energy_wh,12,0.0,0.00048828125,1.0,364.3459627887366,44.947071956627866,225.16252201418348,885.6390976177877,0.00341796875
representative,eco_pso_joint,makespan_s,12,9.0,0.0185546875,0.7575757575757576,70.69934010671386,0.27084686139959047,0.2195969421591144,167.94725778232896,0.111328125
representative,tm_moaoa_joint,scheduler_controllable_emissions_g,12,0.0,0.00048828125,1.0,54.05553888614931,94.16626620294494,5.079533079711716,104.35867966054562,0.00341796875
representative,tm_moaoa_joint,scheduler_controllable_energy_wh,12,0.0,0.00048828125,1.0,78.92826159849659,21.667756987106543,15.171851962253669,167.65053353119595,0.00341796875
representative,tm_moaoa_joint,gross_horizon_emissions_g,12,0.0,0.00048828125,1.0,54.05553888614931,38.21328077717725,5.07953307971173,104.35867966054565,0.00341796875
representative,tm_moaoa_joint,gross_horizon_energy_wh,12,0.0,0.00048828125,1.0,78.92826159849659,11.1556177318222,15.171851962253683,167.65053353119595,0.00341796875
representative,tm_moaoa_joint,makespan_s,12,0.0,0.00048828125,1.0,62.174181951908395,0.23787653110218973,20.88488217253871,182.46812939728443,0.00341796875
representative,meo_adapted,scheduler_controllable_emissions_g,12,11.0,0.02685546875,0.717948717948718,0.7956949840931369,31.34943449318633,0.04830999940403302,9.710535537355373,0.107421875
representative,meo_adapted,scheduler_controllable_energy_wh,12,3.0,0.00244140625,0.9230769230769231,64.96765272894353,33.42092071176209,23.61707513424665,176.52569709918197,0.009765625
representative,meo_adapted,gross_horizon_emissions_g,12,11.0,0.02685546875,0.717948717948718,0.7956949840931333,2.753574442063319,0.04830999940403302,9.710535537355387,0.107421875
representative,meo_adapted,gross_horizon_energy_wh,12,3.0,0.00244140625,0.9230769230769231,64.96765272894359,12.62962535278713,23.617075134246633,176.52569709918203,0.009765625
representative,meo_adapted,makespan_s,12,32.5,0.9296875,-0.1388888888888889,0.0,0.0,-32.72041622037068,0.19085454937521718,1.0
representative,jellyfish_rts_adapted,scheduler_controllable_emissions_g,12,11.0,0.02685546875,0.717948717948718,0.7956949840931369,31.34943449318633,0.048311945742710805,10.334264507415785,0.107421875
representative,jellyfish_rts_adapted,scheduler_controllable_energy_wh,12,3.0,0.00244140625,0.9230769230769231,48.1341693624463,25.065339983115024,10.170022423914265,174.3847908108961,0.009765625
representative,jellyfish_rts_adapted,gross_horizon_emissions_g,12,11.0,0.02685546875,0.717948717948718,0.7956949840931333,2.753574442063319,0.04831194574271436,10.334264507415792,0.107421875
representative,jellyfish_rts_adapted,gross_horizon_energy_wh,12,3.0,0.00244140625,0.9230769230769231,48.13416936244634,6.97305602174659,10.17002242391429,174.3847908108961,0.009765625
representative,jellyfish_rts_adapted,makespan_s,12,22.5,0.30859375,0.26666666666666666,0.0746205869345431,0.0002913132123944145,0.0,0.4732595361128915,1.0
representative,nsga_ii,scheduler_controllable_emissions_g,12,11.0,0.02685546875,0.717948717948718,0.7015978130265702,42.315184908772544,0.048311945742710805,13.138760688314647,0.107421875
representative,nsga_ii,scheduler_controllable_energy_wh,12,6.0,0.0068359375,0.8461538461538461,53.73382929256467,22.55133359010945,5.384269730329294,122.71646990614602,0.013671875
representative,nsga_ii,gross_horizon_emissions_g,12,11.0,0.02685546875,0.717948717948718,0.7015978130265665,2.4203697763063166,0.04831194574271436,13.138760688314655,0.107421875
representative,nsga_ii,gross_horizon_energy_wh,12,6.0,0.0068359375,0.8461538461538461,53.73382929256468,8.70490790310809,5.384269730329308,122.71646990614624,0.013671875
representative,nsga_ii,makespan_s,12,27.5,0.6328125,0.1388888888888889,0.0,0.0,-0.008579914458096027,0.19085454937521718,1.0
representative,ppo_joint,scheduler_controllable_emissions_g,12,0.0,0.00048828125,1.0,29.44082061748648,97.61263249498529,8.350827970518754,83.29294072038269,0.00341796875
representative,ppo_joint,scheduler_controllable_energy_wh,12,0.0,0.00048828125,1.0,246.7091649534322,53.797241141499526,166.74794669034483,519.3280387774771,0.00341796875
representative,ppo_joint,gross_horizon_emissions_g,12,0.0,0.00048828125,1.0,29.440820617486487,33.17119776486311,8.350827970518758,83.29294072038269,0.00341796875
representative,ppo_joint,gross_horizon_energy_wh,12,0.0,0.00048828125,1.0,246.70916495343224,35.66383276052389,166.74794669034475,519.3280387774769,0.00341796875
representative,ppo_joint,makespan_s,12,21.0,0.17138671875,0.46153846153846156,10.225222089982708,0.03937061931226363,0.1088802777503588,84.47442304927608,0.85693359375
sla_stress,ecc_cee_adapted,scheduler_controllable_emissions_g,12,29.0,0.541015625,0.16363636363636364,0.7878212815499779,13.059817292881036,-1.5698808684040912,1.5927564810780162,1.0
sla_stress,ecc_cee_adapted,scheduler_controllable_energy_wh,12,36.0,0.939453125,0.05454545454545454,0.0,0.0,-8.170853890501487,2.8338314121209542,1.0
sla_stress,ecc_cee_adapted,gross_horizon_emissions_g,12,29.0,0.541015625,0.16363636363636364,0.7878212815499779,12.336911052811207,-1.5698808684040912,1.5927564810780166,1.0
sla_stress,ecc_cee_adapted,gross_horizon_energy_wh,12,36.0,0.939453125,0.05454545454545454,0.0,0.0,-8.170853890501489,2.833831412120956,1.0
sla_stress,ecc_cee_adapted,makespan_s,12,10.0,0.25,0.6,0.0,0.0,0.0,0.07728962006535767,0.5
sla_stress,eco_pso_joint,scheduler_controllable_emissions_g,12,0.0,0.00048828125,1.0,53.32980694477716,58.31508260650567,3.8111053157431947,115.5601107600478,0.00341796875
sla_stress,eco_pso_joint,scheduler_controllable_energy_wh,12,0.0,0.00048828125,1.0,55.94234468112728,21.496914691537565,9.394501753583883,228.62176399780208,0.00341796875
sla_stress,eco_pso_joint,gross_horizon_emissions_g,12,0.0,0.00048828125,1.0,53.32980694477717,56.94623046798087,3.8111053157431947,115.56011076004775,0.00341796875
