track,method,metric,n_scenarios,mean,median,std,best,worst
representative,ecc_cee_adapted,scheduler_controllable_emissions_g,12,6.6922938010283275,1.923257011972158,8.764290794111387,0.7613192579565151,26.56863337473274
representative,ecc_cee_adapted,scheduler_controllable_energy_wh,12,403.6498491072089,202.98822758236952,423.8677145713367,29.489890171291194,1058.5231940797496
representative,ecc_cee_adapted,gross_horizon_emissions_g,12,47.64246028860608,45.2961933835124,15.505990222110366,21.972930550025,74.40583240667192
representative,ecc_cee_adapted,gross_horizon_energy_wh,12,642.6349511296588,461.50880618163956,433.34069739999995,243.06340740785723,1321.2248972827404
representative,ecc_cee_adapted,makespan_s,12,25915.192603142084,25812.713608209655,283.19329402666693,25522.13529691007,26297.42327941081
representative,ecc_cee_adapted,deadline_miss_ratio,12,0.0,0.0,0.0,0.0,0.0
representative,ecc_cee_adapted,total_tardiness_s,12,0.0,0.0,0.0,0.0,0.0
representative,ecc_cee_adapted,migration_volume_gib,12,19.1090127733162,17.94456620270261,10.23334607524547,4.343511738536946,38.497408950896684
representative,ecc_cee_adapted,migration_energy_wh,12,1.146540766398972,1.0766739721621568,0.6140007645147281,0.2606107043122167,2.3098445370538014
representative,ecc_cee_adapted,migration_emissions_g,12,0.12070691229506171,0.10529154893002318,0.07402728146592956,0.035186870931475094,0.26862061843501517
representative,ecc_cee_adapted,active_node_count,12,4.166666666666667,3.5,2.8230651727682394,1.0,9.0
representative,ecc_cee_adapted,wall_time_s,12,8.764827619083382,8.814288809500113,3.7037522830304948,4.089528562000169,13.722883438999816
representative,ecc_cee_adapted,actual_objective_calls,12,216.0,216.0,51.168171925346506,156.0,276.0
representative,eco_pso_joint,scheduler_controllable_emissions_g,12,189.5095821243843,110.00581499013573,176.1512136993159,17.430831141897237,478.5276723696735
representative,eco_pso_joint,scheduler_controllable_energy_wh,12,919.441690527926,565.5826967471102,864.0092356285294,127.76154576329961,2808.7041093229527
representative,eco_pso_joint,gross_horizon_emissions_g,12,230.459748611962,151.65749822168132,180.31571636914552,43.70428313208787,519.3119237037338
representative,eco_pso_joint,gross_horizon_energy_wh,12,1158.4267925503757,782.250194813349,870.8332917996432,340.9802017126364,3046.384325173639
representative,eco_pso_joint,makespan_s,12,26003.92024039956,25880.528707003745,335.31000560831853,25569.713748198585,26475.091593995516
representative,eco_pso_joint,deadline_miss_ratio,12,0.0,0.0,0.0,0.0,0.0
representative,eco_pso_joint,total_tardiness_s,12,0.0,0.0,0.0,0.0,0.0
representative,eco_pso_joint,migration_volume_gib,12,19.82542970372617,15.093352567340457,14.992818575569018,0.0,47.31788885149975
representative,eco_pso_joint,migration_energy_wh,12,1.1895257822235696,0.9056011540404274,0.899569114534141,0.0,2.839073331089985
