track,competitor,metric,n_scenarios,median_relative_improvement_pct,raw_p_value,holm_adjusted_p,rank_biserial_effect,bootstrap_ci_low,bootstrap_ci_high
representative,ecc_cee_adapted,scheduler_controllable_emissions_g,12,21.994428695503714,0.04248046875,0.107421875,0.6666666666666666,0.0483119457427108,4.3382685340127445
representative,ecc_cee_adapted,scheduler_controllable_energy_wh,12,13.929356313645666,0.1513671875,0.1513671875,0.4871794871794871,-0.9480254479472984,75.394392774604
representative,ecc_cee_adapted,gross_horizon_emissions_g,12,0.3856830033735585,0.04248046875,0.107421875,0.6666666666666666,0.0483119457427143,4.338268534012741
representative,ecc_cee_adapted,gross_horizon_energy_wh,12,6.277689774759146,0.1513671875,0.1513671875,0.4871794871794871,-0.9480254479472876,75.39439277460417
representative,ecc_cee_adapted,makespan_s,12,3.940503039319363e-05,0.3828125,1.0,0.1944444444444444,0.0,0.1908545493752171
representative,eco_pso_joint,scheduler_controllable_emissions_g,12,99.61339829557691,0.00048828125,0.00341796875,1.0,48.02216685407238,360.06392910526665
representative,eco_pso_joint,scheduler_controllable_energy_wh,12,72.21501215315632,0.00048828125,0.00341796875,1.0,225.16252201418348,885.6390976177877
representative,eco_pso_joint,gross_horizon_emissions_g,12,68.2576116171758,0.00048828125,0.00341796875,1.0,48.02216685407238,360.06392910526665
representative,eco_pso_joint,gross_horizon_energy_wh,12,44.947071956627866,0.00048828125,0.00341796875,1.0,225.16252201418348,885.6390976177877
representative,eco_pso_joint,makespan_s,12,0.2708468613995904,0.0185546875,0.111328125,0.7575757575757576,0.2195969421591144,167.94725778232896
representative,tm_moaoa_joint,scheduler_controllable_emissions_g,12,94.16626620294494,0.00048828125,0.00341796875,1.0,5.079533079711716,104.35867966054562
representative,tm_moaoa_joint,scheduler_controllable_energy_wh,12,21.667756987106543,0.00048828125,0.00341796875,1.0,15.171851962253667,167.65053353119595
representative,tm_moaoa_joint,gross_horizon_emissions_g,12,38.21328077717725,0.00048828125,0.00341796875,1.0,5.07953307971173,104.35867966054565
representative,tm_moaoa_joint,gross_horizon_energy_wh,12,11.1556177318222,0.00048828125,0.00341796875,1.0,15.171851962253683,167.65053353119595
representative,tm_moaoa_joint,makespan_s,12,0.2378765311021897,0.00048828125,0.00341796875,1.0,20.88488217253871,182.46812939728443
representative,meo_adapted,scheduler_controllable_emissions_g,12,31.34943449318633,0.02685546875,0.107421875,0.717948717948718,0.048309999404033,9.710535537355373
representative,meo_adapted,scheduler_controllable_energy_wh,12,33.42092071176209,0.00244140625,0.009765625,0.9230769230769232,23.61707513424665,176.52569709918197
representative,meo_adapted,gross_horizon_emissions_g,12,2.753574442063319,0.02685546875,0.107421875,0.717948717948718,0.048309999404033,9.710535537355389
representative,meo_adapted,gross_horizon_energy_wh,12,12.62962535278713,0.00244140625,0.009765625,0.9230769230769232,23.617075134246637,176.52569709918205
representative,meo_adapted,makespan_s,12,0.0,0.9296875,1.0,-0.1388888888888889,-32.72041622037068,0.1908545493752171
representative,jellyfish_rts_adapted,scheduler_controllable_emissions_g,12,31.34943449318633,0.02685546875,0.107421875,0.717948717948718,0.0483119457427108,10.334264507415783
representative,jellyfish_rts_adapted,scheduler_controllable_energy_wh,12,25.065339983115024,0.00244140625,0.009765625,0.9230769230769232,10.170022423914263,174.3847908108961
representative,jellyfish_rts_adapted,gross_horizon_emissions_g,12,2.753574442063319,0.02685546875,0.107421875,0.717948717948718,0.0483119457427143,10.334264507415792
representative,jellyfish_rts_adapted,gross_horizon_energy_wh,12,6.97305602174659,0.00244140625,0.009765625,0.9230769230769232,10.17002242391429,174.3847908108961
representative,jellyfish_rts_adapted,makespan_s,12,0.0002913132123944,0.30859375,1.0,0.2666666666666666,0.0,0.4732595361128915
representative,nsga_ii,scheduler_controllable_emissions_g,12,42.315184908772544,0.02685546875,0.107421875,0.717948717948718,0.0483119457427108,13.138760688314647
representative,nsga_ii,scheduler_controllable_energy_wh,12,22.55133359010945,0.0068359375,0.013671875,0.8461538461538461,5.384269730329294,122.71646990614602
representative,nsga_ii,gross_horizon_emissions_g,12,2.420369776306317,0.02685546875,0.107421875,0.717948717948718,0.0483119457427143,13.138760688314656
representative,nsga_ii,gross_horizon_energy_wh,12,8.70490790310809,0.0068359375,0.013671875,0.8461538461538461,5.384269730329308,122.71646990614624
representative,nsga_ii,makespan_s,12,0.0,0.6328125,1.0,0.1388888888888889,-0.008579914458096,0.1908545493752171
representative,ppo_joint,scheduler_controllable_emissions_g,12,97.61263249498528,0.00048828125,0.00341796875,1.0,8.350827970518754,83.29294072038269
representative,ppo_joint,scheduler_controllable_energy_wh,12,53.797241141499526,0.00048828125,0.00341796875,1.0,166.74794669034483,519.3280387774771
representative,ppo_joint,gross_horizon_emissions_g,12,33.17119776486311,0.00048828125,0.00341796875,1.0,8.350827970518758,83.29294072038269
representative,ppo_joint,gross_horizon_energy_wh,12,35.66383276052389,0.00048828125,0.00341796875,1.0,166.74794669034475,519.3280387774769
representative,ppo_joint,makespan_s,12,0.0393706193122636,0.17138671875,0.85693359375,0.4615384615384615,0.1088802777503588,84.47442304927608
sla_stress,ecc_cee_adapted,scheduler_controllable_emissions_g,12,13.059817292881036,0.541015625,1.0,0.1636363636363636,-1.5698808684040912,1.5927564810780162
sla_stress,ecc_cee_adapted,scheduler_controllable_energy_wh,12,0.0,0.939453125,1.0,0.0545454545454545,-8.170853890501487,2.8338314121209542
sla_stress,ecc_cee_adapted,gross_horizon_emissions_g,12,12.336911052811208,0.541015625,1.0,0.1636363636363636,-1.5698808684040912,1.5927564810780166
sla_stress,ecc_cee_adapted,gross_horizon_energy_wh,12,0.0,0.939453125,1.0,0.0545454545454545,-8.170853890501489,2.833831412120956
sla_stress,ecc_cee_adapted,makespan_s,12,0.0,0.25,0.5,0.6,0.0,0.0772896200653576
sla_stress,eco_pso_joint,scheduler_controllable_emissions_g,12,58.31508260650567,0.00048828125,0.00341796875,1.0,3.811105315743194,115.5601107600478
sla_stress,eco_pso_joint,scheduler_controllable_energy_wh,12,21.496914691537565,0.00048828125,0.00341796875,1.0,9.394501753583883,228.62176399780208
sla_stress,eco_pso_joint,gross_horizon_emissions_g,12,56.94623046798087,0.00048828125,0.00341796875,1.0,3.811105315743194,115.56011076004776
sla_stress,eco_pso_joint,gross_horizon_energy_wh,12,20.414714483501083,0.00048828125,0.00341796875,1.0,9.39450175358388,228.6217639978022
sla_stress,eco_pso_joint,makespan_s,12,4.362207560271653,0.00048828125,0.00341796875,1.0,1.0314078999799676,96.25585669241264
sla_stress,tm_moaoa_joint,scheduler_controllable_emissions_g,12,56.19599915391647,0.00048828125,0.00341796875,1.0,3.4432523405119024,115.5601107600478
sla_stress,tm_moaoa_joint,scheduler_controllable_energy_wh,12,19.72408280193029,0.00244140625,0.01220703125,0.9230769230769232,7.48557714214073,228.62176399780208
sla_stress,tm_moaoa_joint,gross_horizon_emissions_g,12,51.61884250175716,0.00048828125,0.00341796875,1.0,3.4432523405119024,115.56011076004776
sla_stress,tm_moaoa_joint,gross_horizon_energy_wh,12,18.393797372653083,0.00244140625,0.01220703125,0.9230769230769232,7.485577142140727,228.6217639978022
sla_stress,tm_moaoa_joint,makespan_s,12,4.13988540793798,0.00048828125,0.00341796875,1.0,1.0314078999799676,96.25585669241264
sla_stress,meo_adapted,scheduler_controllable_emissions_g,12,13.059817292881036,0.541015625,1.0,0.1636363636363636,-1.5698808684040912,1.799813514797485
sla_stress,meo_adapted,scheduler_controllable_energy_wh,12,0.7428019994644102,0.703125,1.0,0.1272727272727272,-13.400213628889835,4.100442228215213
sla_stress,meo_adapted,gross_horizon_emissions_g,12,12.336911052811208,0.541015625,1.0,0.1636363636363636,-1.5698808684040912,1.7998135147974854
sla_stress,meo_adapted,gross_horizon_energy_wh,12,0.7209700846246619,0.703125,1.0,0.1272727272727272,-13.400213628889723,4.100442228215215
sla_stress,meo_adapted,makespan_s,12,0.0,0.125,0.5,0.7142857142857143,0.0,7.03461300814547
sla_stress,jellyfish_rts_adapted,scheduler_controllable_emissions_g,12,13.059817292881036,0.541015625,1.0,0.1636363636363636,-1.5698808684040912,1.799813514797485
sla_stress,jellyfish_rts_adapted,scheduler_controllable_energy_wh,12,0.7428019994644102,0.703125,1.0,0.1272727272727272,-13.399483311678004,4.100442228215213
sla_stress,jellyfish_rts_adapted,gross_horizon_emissions_g,12,12.336911052811208,0.541015625,1.0,0.1636363636363636,-1.5698808684040912,1.7998135147974854
sla_stress,jellyfish_rts_adapted,gross_horizon_energy_wh,12,0.7209700846246619,0.703125,1.0,0.1272727272727272,-13.399483311678004,4.100442228215215
sla_stress,jellyfish_rts_adapted,makespan_s,12,0.0,0.125,0.5,0.7142857142857143,0.0,7.03461300814547
sla_stress,nsga_ii,scheduler_controllable_emissions_g,12,12.951344086538825,0.6220703125,1.0,0.1794871794871795,-1.5700778607573411,1.7994130954880665
sla_stress,nsga_ii,scheduler_controllable_energy_wh,12,0.7352657115302803,0.85009765625,1.0,0.0769230769230769,-13.400009816563136,4.099142385819306
sla_stress,nsga_ii,gross_horizon_emissions_g,12,11.23813642401266,0.6220703125,1.0,0.1794871794871795,-1.570077860757334,1.7994130954880667
sla_stress,nsga_ii,gross_horizon_energy_wh,12,0.7136693421755507,0.85009765625,1.0,0.0769230769230769,-13.40000981656314,4.099142385819308
sla_stress,nsga_ii,makespan_s,12,0.0,0.125,0.5,0.7142857142857143,0.0,7.03461300814547
sla_stress,ppo_joint,scheduler_controllable_emissions_g,12,58.31508260650567,0.00048828125,0.00341796875,1.0,3.811105315743194,115.5601107600478
sla_stress,ppo_joint,scheduler_controllable_energy_wh,12,21.496914691537565,0.00048828125,0.00341796875,1.0,9.394501753583883,228.62176399780208
sla_stress,ppo_joint,gross_horizon_emissions_g,12,56.94623046798087,0.00048828125,0.00341796875,1.0,3.811105315743194,115.56011076004776
sla_stress,ppo_joint,gross_horizon_energy_wh,12,20.414714483501083,0.00048828125,0.00341796875,1.0,9.39450175358388,228.6217639978022
sla_stress,ppo_joint,makespan_s,12,4.362207560271653,0.00048828125,0.00341796875,1.0,1.0314078999799676,96.25585669241264
