track,method,count,mean,median,std,min,max
representative,ecc_cee_adapted,36,8.866266192166691,8.633241451999993,3.6285076550941344,4.083954359000018,15.42360915900008
representative,eco_pso_joint,36,6.493240196194425,5.649756749499943,2.381567521241432,3.3024047470000824,10.601093261000187
representative,hcsmo_v6d,36,9.438550791861125,9.079284451000149,3.851201370507702,4.257188630999963,15.583377487999769
representative,jellyfish_rts_adapted,36,7.8196798806388745,7.011223575000031,3.0021871678034024,3.702301721000026,12.786517163000099
representative,meo_adapted,36,7.3863291193333005,7.58782062399996,2.774500907938098,3.4549108610000303,12.011767923000207
representative,nsga_ii,36,8.625748578055537,8.75754790950009,3.3203849058703603,4.028903458000059,13.736448409000332
representative,ppo_joint,36,98.39524829436111,90.56483014950027,55.51146671961274,33.00123092800004,171.302818182
representative,tm_moaoa_joint,36,6.536625372500034,6.1363768380000465,2.541521436272722,3.08996880899997,10.879148646999965
sla_stress,ecc_cee_adapted,36,25.436396530777454,25.357498126499195,4.186256502879919,19.728340445999493,30.83450093600004
sla_stress,eco_pso_joint,36,17.473751933305795,17.59110825299831,1.198580256882295,15.768137065999326,19.994837769998412
sla_stress,hcsmo_v6d,36,50.10142678000031,50.724832558500566,5.980024683260128,41.28772066199963,58.66137011400042
sla_stress,jellyfish_rts_adapted,36,27.622016243416585,27.56215723600144,3.7973874044461087,21.530242983004428,38.794320282000626
sla_stress,meo_adapted,36,18.54807718683335,18.297249045499484,1.970904901378568,15.599627720999706,21.930937494000318
sla_stress,nsga_ii,36,24.127012252138936,24.562002846498217,2.87931891154612,20.056188030997873,28.442376025000158
sla_stress,ppo_joint,36,583.465099657611,581.5979587159991,12.751670529559439,561.6598571239992,606.9096095740006
sla_stress,tm_moaoa_joint,36,31.43491384102769,30.485763556000165,5.407067018222923,24.17228667100062,40.71618799799944
