track,metric,method,average_rank,rank_std
sla_stress,gross_horizon_energy_wh,ecc_cee_adapted,3.625,1.1306675421666137
sla_stress,gross_horizon_energy_wh,eco_pso_joint,6.958333333333333,0.498102459947811
sla_stress,gross_horizon_energy_wh,tm_moaoa_joint,5.958333333333333,2.136887427729378
sla_stress,gross_horizon_energy_wh,meo_adapted,3.6666666666666665,1.337115846843043
sla_stress,gross_horizon_energy_wh,jellyfish_rts_adapted,3.8333333333333335,1.0730867399773196
sla_stress,gross_horizon_energy_wh,nsga_ii,2.0,0.9534625892455924
sla_stress,gross_horizon_energy_wh,ppo_joint,6.958333333333333,0.498102459947811
sla_stress,makespan_s,hcsmo_v6d,2.375,1.2635627839925123
sla_stress,makespan_s,ecc_cee_adapted,3.1666666666666665,0.9128709291752768
sla_stress,makespan_s,eco_pso_joint,6.958333333333333,0.498102459947811
sla_stress,makespan_s,tm_moaoa_joint,6.708333333333333,0.5418123347254159
sla_stress,makespan_s,meo_adapted,3.375,0.7723929758166558
sla_stress,makespan_s,jellyfish_rts_adapted,3.375,0.7723929758166558
sla_stress,makespan_s,nsga_ii,3.083333333333333,0.5149286505444373
sla_stress,makespan_s,ppo_joint,6.958333333333333,0.498102459947811
