sensitivity_family,parameter,parameter_value,parameter_subvalue,scheduler_controllable_emissions_g,scheduler_controllable_energy_wh,gross_horizon_energy_wh,makespan_s,deadline_miss_ratio,wall_time_s
active_pool_size,pool_size,1,carbon,33.87132415770218,466.38880866057883,729.685236029899,26743.747296062487,0.0,0.0729613420007808
active_pool_size,pool_size,1,energy,100.01019930115612,454.1117100028072,717.3408151401306,26743.946445402005,0.0,0.0718398959979822
active_pool_size,pool_size,1,hybrid,100.01019930115612,454.1117100028072,717.3408151401306,26743.946445402005,0.0,0.08246961900294986
active_pool_size,pool_size,1,speed,122.81354326143656,480.93112923916385,744.3126914605737,25995.800337037042,0.0,0.0683591144988895
active_pool_size,pool_size,2,carbon,0.33741348983789976,312.683599138581,576.065161359991,26294.888515580635,0.0,0.07271179099916475
active_pool_size,pool_size,2,energy,84.1211776424004,301.7770638574418,565.0453043264791,26443.10965959115,0.0,0.07255842200174806
active_pool_size,pool_size,2,hybrid,34.600013558190284,308.46943313063497,567.5783018946611,26294.888515580635,0.0,0.07332403300461005
active_pool_size,pool_size,2,speed,75.40479644825771,525.9587351093944,773.994342129515,25995.65665275512,0.0,0.0754976554999302
active_pool_size,pool_size,4,carbon,0.3360209098137119,320.3100592577018,568.3456662778224,26128.603167340756,0.0,0.0868911015022604
active_pool_size,pool_size,4,energy,65.7799006667738,316.5523069823903,568.6599565741332,26294.9774795869,0.0,0.07653567000306791
active_pool_size,pool_size,4,hybrid,0.44116755110376005,453.8285602752216,701.8641672953422,25998.429434069767,0.0,0.0998376000025018
active_pool_size,pool_size,4,speed,2.387068912301949,520.482602607623,768.5182096277435,25995.61499206467,0.0,0.10952804399857996
active_pool_size,pool_size,6,carbon,0.3360209098137119,444.3290190719132,707.7105812933231,26128.599167340755,0.0,0.1003467664995696
active_pool_size,pool_size,6,energy,23.897859536275718,328.84258786324995,592.2241500846599,26294.935818896454,0.0,0.08055065050211845
active_pool_size,pool_size,6,hybrid,1.9920437294527584,441.4457426332289,689.4813496533495,25995.57488874886,0.0,0.08288812249884356
active_pool_size,pool_size,6,speed,2.387068912301949,520.482602607623,768.5182096277435,25995.61499206467,0.0,0.08602519699707045
active_pool_size,pool_size,8,carbon,0.5910314561118142,454.5684158138024,717.9499780352123,26128.599167340755,0.0,0.10067768000226346
