sensitivity_family,parameter,parameter_value,parameter_subvalue,track,scenario_id,base_scenario_id,dataset,family,node_count,task_count,scenario_seed,workload_seed,replication_index,replication_rule,budget,actual_objective_calls,wall_time_s,origin,total_facility_energy_wh,total_emissions_g,active_energy_wh,inactive_energy_wh,wake_energy_wh,active_node_count,legacy_finish_bounded_energy_wh,legacy_finish_bounded_emissions_g,finish_bounded_floor_energy_wh,finish_bounded_floor_emissions_g,fixed_horizon_end_s,fixed_horizon_duration_s,infrastructure_floor_energy_wh,infrastructure_floor_emissions_g,gross_horizon_energy_wh,gross_horizon_emissions_g,scheduler_controllable_energy_wh,scheduler_controllable_emissions_g,background_energy_share_pct,background_emissions_share_pct,makespan_s,deadline_miss_ratio,total_tardiness_s,migration_volume_gib,migration_energy_wh,migration_emissions_g
evaluation_budget,budget_factor,0.6,,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,130,5.4658507959975395,v6c_anchor_critical_tail_fast_turbo_1,891.4401014357704,40.59831592556469,633.1565113853098,241.75202186358382,15.70833333333333,2.0,891.4401014357704,40.59831592556469,212.64531670554268,39.960160738438184,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,910.8045775306399,43.793070220706156,678.7947847302278,0.6381551871265074,25.47305959193067,98.54279413635449,26263.316184299183,0.0,0.0,13.720580892403982,0.8232348535442389,0.09692411944310333
evaluation_budget,budget_factor,0.8,,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,173,8.762831394997193,v6c_anchor_critical_tail_fast_turbo_1,891.4401014357704,40.59831592556469,633.1565113853098,241.75202186358382,15.70833333333333,2.0,891.4401014357704,40.59831592556469,212.64531670554268,39.960160738438184,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,910.8045775306399,43.793070220706156,678.7947847302278,0.6381551871265074,25.47305959193067,98.54279413635449,26263.316184299183,0.0,0.0,13.720580892403982,0.8232348535442389,0.09692411944310333
evaluation_budget,budget_factor,1.0,,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,216,10.27029453099999,v6c_anchor_critical_tail_fast_turbo_1,891.4401014357704,40.59831592556469,633.1565113853098,241.75202186358382,15.70833333333333,2.0,891.4401014357704,40.59831592556469,212.64531670554268,39.960160738438184,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,910.8045775306399,43.793070220706156,678.7947847302278,0.6381551871265074,25.47305959193067,98.54279413635449,26263.316184299183,0.0,0.0,13.720580892403982,0.8232348535442389,0.09692411944310333
evaluation_budget,budget_factor,1.2,,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,259,9.986519323996617,v6c_anchor_critical_tail_fast_turbo_1,891.4401014357704,40.59831592556469,633.1565113853098,241.75202186358382,15.70833333333333,2.0,891.4401014357704,40.59831592556469,212.64531670554268,39.960160738438184,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,910.8045775306399,43.793070220706156,678.7947847302278,0.6381551871265074,25.47305959193067,98.54279413635449,26263.316184299183,0.0,0.0,13.720580892403982,0.8232348535442389,0.09692411944310333
critical_tail_size,tail_size,1,,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,216,8.676877525998862,parameterized_v6c_anchor_critical_tail_fast_turbo_1,891.4401014357704,40.59831592556469,633.1565113853098,241.75202186358382,15.70833333333333,2.0,891.4401014357704,40.59831592556469,212.64531670554268,39.960160738438184,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,910.8045775306399,43.793070220706156,678.7947847302278,0.6381551871265074,25.47305959193067,98.54279413635449,26263.316184299183,0.0,0.0,13.720580892403982,0.8232348535442389,0.09692411944310333
critical_tail_size,tail_size,2,,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,216,10.109976395004196,uniform_pool_Google2011v2_node_027_turbo,849.0400310817827,40.716304353166194,594.4713472874012,243.11211560750482,10.633333333333331,1.0,849.0400310817827,40.716304353166194,213.61137670875124,40.12151529639688,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,867.4384471734437,43.74970409034896,635.4286543730315,0.594789056769315,26.746542484532288,98.64047296059188,26382.631952501135,0.0,0.0,13.720580892403982,0.8232348535442389,0.09692411944310333
critical_tail_size,tail_size,4,,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,216,7.989528117002919,uniform_pool_Google2011v2_node_027_turbo,849.0400310817827,40.716304353166194,594.4713472874012,243.11211560750482,10.633333333333331,1.0,849.0400310817827,40.716304353166194,213.61137670875124,40.12151529639688,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,867.4384471734437,43.74970409034896,635.4286543730315,0.594789056769315,26.746542484532288,98.64047296059188,26382.631952501135,0.0,0.0,13.720580892403982,0.8232348535442389,0.09692411944310333
critical_tail_size,tail_size,8,,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,216,9.780035597999813,uniform_pool_Google2011v2_node_027_turbo,849.0400310817827,40.716304353166194,594.4713472874012,243.11211560750482,10.633333333333331,1.0,849.0400310817827,40.716304353166194,213.61137670875124,40.12151529639688,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,867.4384471734437,43.74970409034896,635.4286543730315,0.594789056769315,26.746542484532288,98.64047296059188,26382.631952501135,0.0,0.0,13.720580892403982,0.8232348535442389,0.09692411944310333
carbon_shift_cap,maximum_shift_fraction,0.0,,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,216,9.925371263998386,v6c_anchor_critical_tail_fast_turbo_1__shift_cap,891.4401014357704,40.59831592556469,633.1565113853098,241.75202186358382,15.70833333333333,2.0,891.4401014357704,40.59831592556469,212.64531670554268,39.960160738438184,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,910.8045775306399,43.793070220706156,678.7947847302278,0.6381551871265074,25.47305959193067,98.54279413635449,26263.316184299183,0.0,0.0,13.720580892403982,0.8232348535442389,0.09692411944310333
carbon_shift_cap,maximum_shift_fraction,0.25,,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,216,7.888142059004167,v6c_anchor_critical_tail_fast_turbo_1__shift_cap,891.4401014357704,40.59831592556469,633.1565113853098,241.75202186358382,15.70833333333333,2.0,891.4401014357704,40.59831592556469,212.64531670554268,39.960160738438184,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,910.8045775306399,43.793070220706156,678.7947847302278,0.6381551871265074,25.47305959193067,98.54279413635449,26263.316184299183,0.0,0.0,13.720580892403982,0.8232348535442389,0.09692411944310333
